"Submission ID","Respondent ID","Submitted at","uuid","session_id","session_duration","subject","Respondent's country","how was your sesh with Professor Curious fr?","what made you call the Prof.?","what didn’t work for you with the Prof.?","what actually helped you the most? 🔥","what do you think we could do better?","Anything here that low-key had you confused or stressed?","How well did the whiteboard work for you today?"
"yPbzYY6","J9OoNGz","2025-12-17 03:44:35","0","","","Any subject","","5","😌 to just chill + study","","","Ok","","5"
"Me2MRPY","5BZVyAo","2025-12-17 03:50:10","5","","","Reading ","","5","📚 to learn","He actually solved my problems in depth, and he sticks to what he said just with more clarifications, which helps me learn better, instead of hearing the same thing in more complicated and complex wording I’m not able to comprehend easily. ","","Everything Prof did was fantastic ","","5"
"Y5bkVzq","gD9OePK","2025-12-17 05:14:04","0","","","US History","","5","📚 to learn","How I can talk","","Nothing","","5"
"RGQlrbl","rjoWjN2","2025-12-18 02:29:44","0","","","Any subject","","5","📚 to learn","He gets the answers right 😂","","It seems to all be good ","","5"
"WO6bkQQ","WO8X2Ge","2025-12-19 02:00:07","13","","","Human Geography","","5","📚 to learn","What I like at the most is how it break the things down","","Go a lot of slower","","5"
"Me2oOkA","LZPL59v","2025-12-20 18:33:20","9","","","Math (Updated)","","5","📚 to learn","That prof didn’t slam me down with harsh commentary ","","That the whiteboard couldn’t keep up with the speed of the conversation","","4"
"LZxbeWj","LZp1drG","2025-12-23 20:47:49","16","","","World History: Modern","","4","📚 to learn","Listens to me","","slow down","","3"
"obNvz6b","GxllByZ","2025-12-27 12:44:34","60","","","Any subject","","3","📝 to do homework","Everything is fine but only thing is that this feature consume lots of Battery ","","It's consume lots of phone charging ","","3"
"b5RDbv2","68Ndvve","2025-12-28 06:20:08","16","","","Any subject","","4","📚 to learn","","","Nothing","","3"
"RGe9Jjp","b5d45oo","2025-12-30 02:34:16","2","","","Math (Updated)","","4","📚 to learn","","","Go slower and explain better","","3"
"PdQ7pqB","7RxJRk6","2025-12-30 11:02:22","10","","","Unknown","","1","📝 to do homework","","","No idea","","1"
"NpNaYeG","7RxJ2pP","2025-12-30 12:26:58","17","","","Any subject","","2","😌 to just chill + study","Honestly I would really prefer for zu ai to. Bring the typing firm back. I amnot comfortable with the way the speech is too fast . And zu ai typing firm provides me a detailed breakdown of any topic I asked for . I don't know how I am going to do physics without that please please please i understand you re trying to update and make things better but trust me it is making things worse for me than in already is. Typing firm would give me examples , analogies , i could keep uploading images in a conversation . I could write things down in my copy as it was right infront of me . Here the text is so fast that I can't even understand . That is the exact reason I struggle in regular classroom setups . I am a NEET aspirant in class 11 and I have a whole year in front of me . I will be ruined without this . Please help whoever is reading this  
","","Please i feel you should bring your texting thing back it was way more convenient and just improve on that voice typing thing you had on there both purpose solved . Please I really learn well with text . Typing form gave me examples , analogies I didn't even know i needed, every question was calmly dealt with in detail. I could note it down as I had it in front of me in my copy . In fact that was the way I learnt. This is the exact reason I struggle in classroom setups and i came back home and sat with my notes with zu . It was really advantageous . But here it is just another fast paced teacher telling things in short without diving into the concept . The exact thing I struggle with and chatgpt isn't accurate always while zu I have found is correct almost always . I am a serious NEET aspirant currently in class 11 and I have whole year in front of me . Just a few days ago with the text form i remember dissecting a chem question analysing all the options and clearing my concepts you can check my fitner chat with zu u will understand how important zu ai is for me . Please please please bring back the text form with better server as the server sometimes goes down in text form and that causes problems . But please I need the text form . You can develop on your voice but please don't remove text entirely . That iswhat chatgpt did and it erjed out for them well . Please it is my genuine request can I please get it back . Please . I am terrified of my teachers in coaching and school . This is the only place i truly learn and get that dopamine after understanding. The exact reason I took up science as a stream . Please 
","","5"
"pbqQMr8","7RxJ2pP","2025-12-30 13:20:09","1","","","Any subject","","1","😌 to just chill + study","I am not liking it ","","Please bring thetext back . It is extremeky inconvenient to use this thing . 
1. It doesn't use detailed analogies , explanations andit doesn't make me feel like i am understanding something from scratch 
2 the explanation is too short . Like oneliners 
3 the speech is fast difficult to understand.
4. The exact reason I use zu ai is because I struggle in classroom setups where things are just brushed and not discussed in the detail I like . I don't understand i comeback from classesjust mentally drained until I sit rith zu with he notes please try to understand. Zu text is really important for me ","","5"
"dWG7lMr","q45DgoG","2025-12-30 16:24:09","0","","","Unknown","","5","📚 to learn","","","Good","","5"
"EkV2Qb2","rjP0ar2","2025-12-31 12:51:42","4","","","Unknown","","3","📚 to learn","Good","","More specific","","1"
"0QqQrQZ","ODGoJWg","2026-01-01 04:03:16","0","","","Biology","","5","📝 to do homework","","","none ","","5"
"GxOxbBp","GxlQaVk","2026-01-01 08:57:59","0","","","Unknown","","5","📚 to learn","Kind","","Nah","","5"
"2E9jNWj","MeRMN8p","2026-01-01 12:45:13","0","","","Unknown","","3","📚 to learn","It was that he was able to help me explain and revise everything I asked but I do need him to kinda work on the hinglish language i know it is an ai language but still can get improved....","","Improve the language of hinglish and when he speaks Hindi and improve the small glitches on white board and please focus on explaning deeply other than precisely ","","5"
"ODxQolk","KY1kMdz","2026-01-01 13:49:10","0","","","Unknown","","5","📚 to learn","","","None","","5"
"yP8XA9B","ODGkB2R","2026-01-01 14:51:48","0","","","Unknown","","5","📚 to learn","It is very easy and brilliant to communicate and understand topics and chapter quiz i want to written more about it because I am very impressed and happy for this thanks ZUAI","","Keep improving yourself day by day like this","","5"
"dWJEWrN","D4zMalp","2026-01-01 16:00:57","0","","","Unknown","","5","📚 to learn","He's friendly and explains stuff in simple words","","The diagrams take a long time to pop up 😅","","3"
"lb8Be2W","rjPvplp","2026-01-01 16:26:12","7","","","Pre-Calculus","","1","😌 to just chill + study","Bro this app used to be good, now it’s bad. It can’t even give answers the right way anymore. Can it go back to the old ways ? I like nothing about this new method. ","","Everything, go back to the old ways, this app was good back in October and November. Now it sucks ","","1"
"ODxaLLK","b5dvMY6","2026-01-01 17:21:01","0","","","Unknown","","5","📚 to learn","","","idk","","5"
"VLWGW4M","rjPvplp","2026-01-01 19:56:53","1","","","Pre-Calculus","","1","😌 to just chill + study","It’s HORRIBLE ","","go back to the old ways ","","1"
"Xx6rrQe","9qQ4lO4","2026-01-01 22:11:10","0","","","Pre-Calculus","","5","📚 to learn","It helps you understand by communicating ","","I don’t know if the professor speak another language or help me understand in another language ","","5"
"gD8eGgJ","rjPYd1M","2026-01-01 22:50:53","0","","","Reading ","","1","😌 to just chill + study","you won’t let me cancel my subscription ","","let me cancel","","1"
"b51W1dL","gDGgVKD","2026-01-02 15:05:06","0","","","Unknown","","5","📚 to learn","I just love the way it solves doubts ","","actually it's hanging lil bit","","5"
"0QqOB2B","VLzKGr6","2026-01-02 16:33:57","6","","","Pre-Calculus","","4","📚 to learn","The explanations","","Speaks too fast without writing it down ","","4"
"RGe65aQ","KY1o76X","2026-01-02 19:09:41","12","","","Unknown","","4","📚 to learn","He is explaining good but he made mistake one time and white board didn't work properly","","White board should be improved he made a mistake in explaining human eye and colorful world","","3"
"44lkdXB","RGP6GZd","2026-01-03 15:39:11","0","","","Any subject","","4","📝 to do homework","I didn't call him
","","I d k
He good
","","4"
"1AQEYB1","EkWr2Bo","2026-01-03 21:19:22","0","","","Biology","","5","📚 to learn","","","Ctg","","4"
"lb8LxDN","GxlajPj","2026-01-04 05:07:53","32","","","European History","","4","📝 to do homework","","","He should save the notes he takes and remember past conversations ","","5"
"PdZYvJV","68NYLzk","2026-01-04 09:09:28","11","","","Unknown","","4","📚 to learn","","","Nothing ","","4"
"ob8VdVX","7RxJ2pP","2026-01-04 16:35:05","2","","","Any subject","","2","📝 to do homework","","","The image detection ","","3"
"EkoMXzL","jaPRxp1","2026-01-05 15:37:22","1","","","Any subject","","5","📚 to learn","It’s good ","","Just the voice ","","5"
"7R7PqKL","RGPqeaQ","2026-01-05 22:16:00","19","","","World History: Modern","","5","📚 to learn","How it was making thing easy to understand and even had questions to answer.","","It just that it has to reply a bit quicker. ","","5"
"b51Ag6E","NpozrJN","2026-01-06 00:34:20","4","","","Any subject","","4","📝 to do homework","good but maybe the tone can be a Lil sweet","","I already told that","","3"
"kd8x0Z6","68NoGxP","2026-01-06 11:18:20","4","","","Any subject","","5","📚 to learn","He explains so well ","","I have a upgrade it but you think that I haven't upgrade
","","5"
"KYr2GJ7","9qDG704","2026-01-07 04:25:52","18","","","Reading ","","5","📚 to learn","His enthusiasm and the plan and patience ","","Maybe the whiteboard can be a little bit more organized or elaborate?","","4"
"0QqXBxP","eqeD2gq","2026-01-08 02:30:26","25","","","Any subject","","5","📝 to do homework","","","Probably changing the fact that u have to wait for him to respond and also being able to send photos mid convo ","","5"
"MejBMXM","GxdK7Ok","2026-01-08 04:07:34","8","","","Any subject","","5","📚 to learn","He is very helpful ","","Idk","","5"
"PdJjv61","LZWK2xj","2026-01-08 16:14:25","4","","","Unknown","","4","📚 to learn","We also want the explanation in Hindi language or Hindi Medium ","","We also want the explanation in Hindi language ","","5"
"PdJRx2e","Pd5Orbd","2026-01-09 00:53:46","3","","","Unknown","","5","📚 to learn","I love how helpful and open the talking bot is they truly helped a lot. ","","Maybe one explaining things go a little bit slower and have a chat log while it’s talking so that the person who’s learning can keep up with that.","","5"
"b5QZoP0","GxdK7Ok","2026-01-09 01:03:31","10","","","Any subject","","5","📚 to learn","How he didn’t explain with complex words, but instead explain step-by-step, where I could understand the subject very much","","What could be better is that the professor could show models about what the topic for example math he could show models of him solving the answer","","5"
"9qjZG2K","gDGgVKD","2026-01-09 11:41:36","6","","","Any subject","","5","📚 to learn","itssss damnnn goodd","","bhai itsss perfect involve video calling so that we can show ques and get ans","","5"
"A7eBQ0B","MeRMN8p","2026-01-09 15:39:26","10","","","Any subject","","4","📚 to learn","Everything was good we just need a pace controller like somewhere I feel like he's speaking way too fast and I need him to just slow down a bit so if we could control his speaking skills it would be awesome ","","It was good 👍🏻","","5"
"RGy5Z19","OD5P9eK","2026-01-09 21:51:39","44","","","Unknown","","5","📚 to learn","I love how he was able to explain things in ways that help you understand","","Possibly have the professor write more of what he says down so it’s easier to take notes","","4"
"lbkNaYp","eqeEj6x","2026-01-10 05:03:47","23","","","Unknown","","5","📚 to learn","I like how you can immediately ask questions and have it answer back to you fast, including that you can ask as much as possible. I also like how it shows the work being worked out. I also like how it doesn’t show your face, protecting your privacy. ","","I think it should still show the work being worked out even if no image is inserted. ","","5"
"XxPqrbd","9qDOKvV","2026-01-10 12:57:18","3","","","Unknown","","5","📚 to learn","He’s cool and great ","","Nothing ","","5"
"zx5eMqM","yP9xQ6W","2026-01-10 13:04:37","15","","","Unknown","","5","📚 to learn","He takes me through it, step-by-step and answers any questions that I have to help me understand better.","","No, for right now, I think you’re doing just fine.","","5"
"QKl0dJp","vGy4Qq4","2026-01-10 13:39:43","9","","","Unknown","","3","📚 to learn","","","S","","3"
"0QRvbKj","OD5JopK","2026-01-10 21:49:02","2","","","Unknown","","5","📚 to learn","","","You are the best teacher you help me with everything thank you","","5"
"Y5lYVv6","OD5JopK","2026-01-10 21:51:15","0","","","Unknown","","5","📚 to learn","","","He was a good teacher","","5"
"RGyJPbd","zxDQNP0","2026-01-11 02:03:54","5","","","Unknown","","5","📚 to learn","It is a good app","","It is a go way to study ","","5"
"9qjEJJ5","b5x47Ro","2026-01-11 03:13:22","3","","","Unknown","","4","📚 to learn","","","nothiny","","5"
"J9vJZZd","2ENxOz9","2026-01-11 04:49:47","0","","","Unknown","","4","📚 to learn","Great","","None","","4"
"0QRjVOQ","Zj6RL6v","2026-01-11 06:46:43","1","","","Unknown","","2","📝 to do homework","Uh he didn't reply after I sent him the notes and also I couldn't unmute? I liked the customization tho.","","The speed of the note reading","","1"
"q41Ejp7","rjArz0v","2026-01-11 08:48:26","11","","","Unknown","","5","📚 to learn","","","Nothing ","","5"
"q41ExdO","Gxdo0vO","2026-01-11 11:09:23","60","","","Unknown","","5","📚 to learn","Literally everything abt it is jst so good I love how it shows visualizations while he’s talking. It really makes me understand it a lot better than something like ChatGPT who would just talk without any visualization or anything also, I love how it’s just kind of going at your own pace you know like you can just tell him what you wanna learn and he’s on it right away. I really like this. This is by far the best learning app I’ve gotten so far…… Mueheheh ","","I think that so I like whenever I can see it and hear it you know, but I want to like read it like the letters while like hearing it too so like I think that maybe the subtitles could last a little longer on the whiteboard than it has been","","5"
"XxPRXLe","Zj6G0PB","2026-01-11 14:24:19","3","","","Unknown","","1","📝 to do homework","App is stucking sometimes and no simple hack in terms of math only standard methods","","Lot more to improve","","1"
"aQqKaMv","682AKMP","2026-01-11 20:17:37","8","","","Mathematics","","5","📚 to learn","It seems like a real person and tells what it is I’m doing and no just giving me the awnser","","Nothjng","","5"
"GxAq87Q","yP9xQ6W","2026-01-12 02:56:50","4","","","Any subject","","5","📚 to learn","Answers any questions that I have and being able to call the prof ","","Nothing as of rn I love it","","5"
"Np1JRRO","GxdBLxZ","2026-01-12 03:02:50","10","","","Unknown","","4","📚 to learn","he helps a lot and explains everything well and seems to have lots of knowledge on every topic from engineering to ap gov","","i asked him to help summarize a specific chapter of my textbook which he was unable to do ","","3"
"Y5lx5Nd","eqeEj6x","2026-01-12 03:23:46","14","","","Unknown","","2","📝 to do homework","Whiteboard","","The professor was glitching","","5"
"aQqaPl2","yP9ozp8","2026-01-12 06:20:52","1","","","Unknown","","4","📚 to learn","","","It was good and I hope this will stay forever ","","4"
"lb2ZGOB","LZpdAG2","2026-01-12 06:29:33","22","","","Any subject","","5","📚 to learn","He was very answerable and sharp and good with its explanation ","","The white board needs to improve and get all the important points and questions on the board of whatever he's speaking and stop  showing and repeating the same topics of the white board . And the accent in the Hindi language should improve a bit","","2"
"Ek7aR0l","2EN74PM","2026-01-12 15:16:13","9","","","Unknown","","4","📚 to learn","","","Double voice ","","3"
"jaAgMNR","A7LyyZD","2026-01-12 16:19:14","1","","","Unknown","","5","📚 to learn","","","Remove the concept of zucoin ","","5"
"2EG5oQA","OD5V4xR","2026-01-13 00:13:27","4","","","Unknown","","4","📚 to learn","He explained things will but wish he could show visual examples","","Allow him to show visual examples to help better understand a material","","4"
"KYKy9yK","1A7BMMp","2026-01-13 01:31:07","9","","","Unknown","","4","📝 to do homework","the wrong answer 🔥🔥🔥","","maybe more accuracy but idk","","5"
"vG587jl","gDMr60l","2026-01-13 19:28:13","0","","","Reading ","","5","📚 to learn","","","E","","4"
"7RrryYa","A7LGW6y","2026-01-13 22:47:08","0","","","Math (Updated)","","5","📝 to do homework","Idk","","Idk","","5"
"BzWR5x4","9qDye0K","2026-01-14 01:50:28","19","","","Macroeconomics","","4","📝 to do homework","That some time It describe it good. But It it would be better if he can explain in a more simple way than just say mani complicated words. ","","Make that the profesor do not just put an image. It would be better if he can draw in the Board.","","2"
"J9v4Qer","eqeD2gq","2026-01-14 02:33:14","20","","","Any subject","","1","📝 to do homework","My image didn’t show up and the prof had no idea about it also the white board doesn’t record everything ","","Upgrade the image part of it and the prof because u can’t really use him for studying ","","1"
"obLP7X1","7R2gd7a","2026-01-14 04:16:51","14","","","Reading ","","1","📝 to do homework","","","o","","1"
"814B50Y","9qDgJe4","2026-01-14 05:27:20","9","","","Unknown","","5","📚 to learn","","","Nothing 
","","5"
"0QR9gqP","9qDgJe4","2026-01-14 05:37:44","9","","","Unknown","","5","📚 to learn","Nothing
","","No nothinh","","5"
"QKlZpK7","9qDgJe4","2026-01-14 05:38:56","0","","","Unknown","","5","📚 to learn","No nothing","","No ","","5"
"Ek72l6q","5B1g5dN","2026-01-14 07:17:42","1","","","Unknown","","5","📝 to do homework","The explanation ","","Maybe the voice ig please add another one ","","4"
"eqWVLzo","5B1g5dN","2026-01-14 07:46:24","4","","","Unknown","","5","📚 to learn","Explanation ","","The voice 😭🙏","","5"
"A7eEWXy","OD5eqKK","2026-01-14 08:05:33","1","","","Unknown","","4","📚 to learn","","","less lagging","","2"
"44V5VJd","yP9ozp8","2026-01-14 14:16:40","4","","","Unknown","","4","📚 to learn","Nothing ","","All good 💯","","4"
"7RrG6J2","yP9ozp8","2026-01-14 14:35:27","0","","","Unknown","","4","📚 to learn","Good ","","Gi ","","4"
"2EGQBM9","NpozrJN","2026-01-14 15:02:30","9","","","Unknown","","3","📚 to learn","I figured everything out by myself.. but thank god it's was there for even the slightest concerns","","i guess you should also bring a pen for the users so they point out what exactly they wanna know or diagrams that feel confusing.. and also bring more tests and that sound while typing, please remove that 
also I want the professors look to be changed into a young man or woman .. because we kids feel more comfortable and connected with our generation ","","2"
"dWyqB5y","Y5W7AAz","2026-01-15 04:49:36","4","","","Unknown","","5","😌 to just chill + study","","","By mistake and ","","5"
"0QWQO9Q","Pd5Za80","2026-01-15 06:06:24","3","","","Unknown","","5","📚 to learn","It helps me so much amazing ","","It thing it great how it is but always room for improvement ","","5"
"GxPeL5Z","VL5ObMM","2026-01-15 09:11:30","1","","","Unknown","","4","📚 to learn","Speaks ao fast and cant show practical things","","Show practical lesson 
","","4"
"5BAb966","XxWPVoj","2026-01-15 11:26:31","2","","","Unknown","","5","📚 to learn","","","Nice, curious
","","5"
"lbEq1OV","EkQORbL","2026-01-15 15:03:17","13","","","Unknown","","3","📚 to learn","He gave me a visual on the board which helped","","Keeping the Captions up to date with what the professor is saying","","4"
"A7X240y","RG5NBdd","2026-01-15 17:23:30","10","","","Unknown","","3","📝 to do homework","I liked his explanation but he moves too fast his words overlap and it
Gives me a headache ","","He should slow down in his speaking ","","3"
"Y5AGaZv","Gxdo0vO","2026-01-15 19:50:36","47","","","Unknown","","5","📚 to learn","EVERYTHINGGGG ","","NOTHINGGG","","4"
"rjZoyzv","Pd57bP0","2026-01-15 23:22:52","26","","","Unknown","","5","📚 to learn","Straight forward answers
","","Nothing right now 
","","5"
"KYjVRqM","eqeVJxq","2026-01-16 02:01:22","16","","","Unknown","","5","📚 to learn","","","It was lagging a little bit","","5"
"WO78bbN","0Q6KN7B","2026-01-16 02:40:30","19","","","Unknown","","5","📚 to learn","He help me really well","","I got passing grades ","","5"
"ODNGPRa","OD5RXNg","2026-01-16 04:30:27","24","","","Any subject","","5","📚 to learn","he helped me actually understand ","","i don’t know if i have to pay to talk to him but if i do what you could do better is not charge people because this really helps","","5"
"44b2AXd","Y5W7AAz","2026-01-16 14:08:42","1","","","Any subject","","1","😌 to just chill + study","","","Very much bad 😔😔😔😔😔 
","","1"
"eqXEMZJ","vGyo1Jg","2026-01-16 18:43:59","2","","","Unknown","","5","📚 to learn","Talk","","Math","","5"
"7RkZkvA","7R28x5z","2026-01-16 21:50:25","7","","","Unknown","","5","📚 to learn","","","It’s so good ","","5"
"GxP0G4z","7R28x5z","2026-01-16 21:58:34","3","","","Unknown","","5","📚 to learn","🫶","","Good work ","","5"
"44bPAkd","aQ6QYxb","2026-01-17 19:18:40","1","","","Unknown","","4","📚 to learn","He gave a clear answer ","","Show pictures so I can see it visually","","4"
"EkOvPx4","J969EB7","2026-01-17 23:24:36","8","","","Human Geography","","5","📚 to learn","The way he talked clearly, not too fast. He was easy to understand and answered the questions perfectly","","The transcript was a little slow, but that was it","","4"
"Y5Apvxd","GxllByZ","2026-01-18 01:55:35","3","","","Unknown","","5","📚 to learn","","","Best Ai teacher ","","5"
"ZjBvqP0","RG0WD2p","2026-01-18 03:08:17","26","","","Biology","","5","📝 to do homework","It responds to each and every question","","It could pull up a visual even when I asked multiple times","","1"
"rjZGx0R","yP6XYZB","2026-01-18 03:13:55","17","","","Unknown","","4","📚 to learn","","","Professor said something that doesn't write down on to the note","","5"
"68BWxOe","5BzXvpM","2026-01-18 04:51:43","78","","","Unknown","","4","📚 to learn","I liked that you can see a summary of the information spoken","","I’d like to see a less vague summary for things such as the parts of an ear.","","3"
"EkO6X62","EkX5KAo","2026-01-18 16:18:36","3","","","Any subject","","5","📚 to learn","Problem solving method is really very impressive ","","Nothing","","5"
"MexGdN8","GxzK2Rp","2026-01-18 21:12:12","7","","","Unknown","","5","📝 to do homework","He had a great explanation about the topics I struggle on the most!","","No, because your app is perfect!","","5"
"b5JA0oZ","ZjNERle","2026-01-19 00:17:04","28","","","Unknown","","4","📝 to do homework","","","N/A","","4"
"q4lgbz2","b57jA8L","2026-01-19 01:31:52","2","","","Unknown","","5","📚 to learn","","","Cause it’s ai","","5"
"vG9gQr0","EkXdyJN","2026-01-19 04:14:00","6","","","Unknown","","5","📚 to learn","","","Nothing","","5"
"A7XGzAW","WONRLRv","2026-01-19 10:53:27","3","","","Unknown","","5","📚 to learn","Nothing ","","The explanation should be little slow","","5"
"xXWLLJv","Y5Q4bY5","2026-01-19 14:18:20","1","","","Unknown","","2","📚 to learn","It is interesting to talk","","4","","2"
"rjZRPXo","QKDV2Q8","2026-01-19 15:27:23","2","","","Unknown","","4","📝 to do homework","Stuff","","Hearing my voice better","","5"
"D4GoV5p","MebRlWl","2026-01-19 18:19:49","21","","","Unknown","","5","📚 to learn","He explained so good that I actually understood something ","","When I ask a question he should respond a little faster","","5"
"b5JM2e0","gD0GoBM","2026-01-19 18:49:41","2","","","Unknown","","2","📝 to do homework","","","It could be a little faster/ simpler! ","","3"
"9qKY2VX","gD0GoBM","2026-01-19 18:58:01","6","","","Unknown","","4","📚 to learn","","","The whiteboard was glitching a lot for me, and it would give good notes but then when he would move on to my next question, the notes from the first question would disappear. Not sure if there’s a way for me to go back and see those, but I couldn’t find them.","","2"
"xXW7gZ5","gD0GoBM","2026-01-19 19:26:25","10","","","Unknown","","5","📚 to learn","Loved that he can actually remember things and makes things easy to understand and answers allll of my questions!!!","","Just that the notes he gives while talking later turn into bullet points and they don’t always have all the info from when he was talking","","5"
"zx6AO0M","VL0JRX6","2026-01-19 19:30:29","6","","","Unknown","","3","📚 to learn","LOVED that it took notes ","","The only thing is, I feel like the notes could be a little more in depth than the explanations a little bit surface level","","5"
"EkOVN9q","dW6xVpN","2026-01-19 22:33:27","4","","","Unknown","","5","📚 to learn","That they show me examples to help me walk through","","Like me, the professor slowed down a little bit like when he’s talking","","5"
